"","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"100","CORRIENTES, AR",1980-04-11,0,27.9,32,NA
"101","CORRIENTES, AR",1980-04-12,10.9,16.1,32,13
"102","CORRIENTES, AR",1980-04-13,11.9,15.8,NA,11
"103","CORRIENTES, AR",1980-04-14,0,15.2,21,13
"104","CORRIENTES, AR",1980-04-15,0,14.8,NA,7
"105","CORRIENTES, AR",1980-04-16,NA,15.9,NA,NA
"106","CORRIENTES, AR",1980-04-17,0,22,NA,12
"107","CORRIENTES, AR",1980-04-18,0,26.8,NA,21
"108","CORRIENTES, AR",1980-04-19,0,29.3,NA,24
"109","CORRIENTES, AR",1980-04-20,23.1,28.4,34,22
"110","CORRIENTES, AR",1980-04-21,0,27.8,33,22
"111","CORRIENTES, AR",1980-04-22,NA,27.1,NA,NA
"112","CORRIENTES, AR",1980-04-23,NA,27,32,NA
"113","CORRIENTES, AR",1980-04-24,0,27.8,32,22
"114","CORRIENTES, AR",1980-04-25,0,28.6,32,22
"115","CORRIENTES, AR",1980-04-26,0,25.7,33,20
"116","CORRIENTES, AR",1980-04-27,0,25.8,NA,19
"117","CORRIENTES, AR",1980-04-28,0,26.1,NA,21
"118","CORRIENTES, AR",1980-04-29,0,25.6,31,19
"119","CORRIENTES, AR",1980-04-30,NA,16.9,31,NA
"120","CORRIENTES, AR",1980-05-01,NA,13.5,NA,8
"121","CORRIENTES, AR",1980-05-02,0,14.8,NA,8
"122","CORRIENTES, AR",1980-05-03,0,14.3,19,6
"123","CORRIENTES, AR",1980-05-04,0,14.1,NA,6
"124","CORRIENTES, AR",1980-05-05,0,16.7,NA,8
"125","CORRIENTES, AR",1980-05-06,0,19.6,NA,12
"126","CORRIENTES, AR",1980-05-07,0,20.1,25,15
"127","CORRIENTES, AR",1980-05-08,0,18.9,25,14
"128","CORRIENTES, AR",1980-05-09,0.3,20.3,NA,18
"129","CORRIENTES, AR",1980-05-10,6.1,22.4,NA,18
"130","CORRIENTES, AR",1980-05-11,0,24.5,NA,NA
"131","CORRIENTES, AR",1980-05-12,0,27.1,30,18
"132","CORRIENTES, AR",1980-05-13,0,27.1,31,22
"133","CORRIENTES, AR",1980-05-14,0,26.2,30,20
"134","CORRIENTES, AR",1980-05-15,NA,24.3,30,NA
"135","CORRIENTES, AR",1980-05-16,0,20.8,29,20
