lon,lat,mean_sst,mean_ssh
262.875,22.375,24.2282327586207,0.252527216748769
262.875,22.625,24.166902709359608,0.25179131773399016
262.875,22.875,24.111114532019712,0.25098491379310345
262.875,23.125,24.055972906403934,0.2511388546798032
262.875,23.375,23.995751231527105,0.25277432266009864
262.875,23.625,23.92684729064039,0.25441798029556634
262.875,23.875,23.824415024630532,0.25405979064039386
263.125,22.125,24.248368226600977,0.25430240147783256
263.125,22.375,24.191748768472912,0.2538775862068969
263.125,22.625,24.12395320197042,0.2532001847290639
263.125,22.875,24.061976600985197,0.2525557266009853
263.125,23.125,24.009605911330063,0.2515091133004926
263.125,23.375,23.949476600985218,0.2519375615763547
263.125,23.625,23.876416256157633,0.2537672413793101
263.125,23.875,23.77638546798027,0.2544885467980296
263.125,24.125,23.651323891625605,0.25293460591133016
263.125,24.375,23.512499999999985,0.2505930418719213
263.125,24.625,23.359729064039417,0.2489420566502462
263.125,24.875,23.19291871921182,0.2479177955665025
263.375,21.125,24.410190886699528,0.2559753078817732
263.375,21.375,24.361699507389183,0.25536853448275854
263.375,21.625,24.32900246305419,0.25721447044334966
263.375,21.875,24.272383004926105,0.26210480295566496
263.375,22.125,24.210683497536944,0.26539402709359616
263.375,22.375,24.144827586206873,0.26449217980295586
263.375,22.625,24.07149014778324,0.26386588669950733
263.375,22.875,24.014408866995087,0.2641779556650246
263.375,23.125,23.964809113300493,0.263248460591133
263.375,23.375,23.91317733990148,0.26257081280788236
263.375,23.625,23.83845443349753,0.2626872536945814
263.375,23.875,23.74895320197044,0.2618751231527094
263.375,24.125,23.651693349753693,0.25854248768472915
263.375,24.375,23.54307266009852,0.2540734605911332
263.375,24.625,23.42346059113301,0.2499955049261083
263.375,24.875,23.25683497536947,0.24595227832512317
263.375,25.125,23.073121921182253,0.24295769704433492
263.375,25.375,22.918780788177344,0.24228479064039404
263.375,26.625,22.08121921182267,0.21977229064039422
263.625,21.125,24.368534482758598,0.25317777093596044
263.625,21.375,24.319766009852213,0.2573447660098524
263.625,21.625,24.29242610837439,0.26517278325123156
263.625,21.875,24.263331280788194,0.2759556034482754
263.625,22.125,24.219088669950736,0.2814358990147783
263.625,22.375,24.166256157635477,0.28080486453201975
263.625,22.625,24.109544334975393,0.28052647783251206
263.625,22.875,24.055141625615757,0.282883066502463
263.625,23.125,23.998429802955663,0.2840015394088673
263.625,23.375,23.936360837438425,0.2827758620689657
263.625,23.625,23.85526477832512,0.28029685960591133
263.625,23.875,23.774353448275853,0.27612475369458134
263.625,24.125,23.683466748768492,0.2699643472906403
263.625,24.375,23.59405788177339,0.2630899014778327
263.625,24.625,23.47897167487682,0.2562350985221678
263.625,24.875,23.348645320197072,0.24885504926108376
263.625,25.125,23.196798029556653,0.2425462438423645
263.625,25.375,23.013084975369466,0.2392853448275862
263.625,25.625,22.85338669950739,0.238722475369458
263.625,25.875,22.639193349753686,0.23855658866995083
263.625,26.125,22.422967980295557,0.23418448275862075
263.625,26.375,22.264378078817735,0.22596748768472905
263.625,26.625,22.18799261083746,0.2196266625615764
263.625,26.875,22.17118226600987,0.21568269704433504
263.625,27.125,22.119735221674894,0.210409051724138
263.625,27.375,22.02007389162563,0.20441366995073895
263.875,21.125,24.335560344827574,0.25438823891625645
263.875,21.375,24.302032019704445,0.26382647783251223
263.875,21.625,24.287992610837428,0.2756412561576353
263.875,21.875,24.27201354679802,0.2891363300492613
263.875,22.125,24.24264162561577,0.2960519704433499
263.875,22.375,24.200800492610853,0.2962325738916256
263.875,22.625,24.164685960591143,0.2970245689655172
263.875,22.875,24.116841133004915,0.3010979679802954
263.875,23.125,24.051169950738927,0.3040490763546798
263.875,23.375,23.984852216748752,0.3041267241379313
263.875,23.625,23.90126231527093,0.30138940886699506
263.875,23.875,23.81508620689654,0.29510258620689633
263.875,24.125,23.724753694581274,0.2871922413793105
263.875,24.375,23.63488300492611,0.27852881773399035
263.875,24.625,23.53475985221675,0.2682152093596058
263.875,24.875,23.4158866995074,0.25587740147783256
263.875,25.125,23.27872536945813,0.24424636699507388
263.875,25.375,23.11570197044333,0.23732032019704424
263.875,25.625,22.96487068965518,0.23627124384236467
263.875,25.875,22.80905172413791,0.23705948275862054
263.875,26.125,22.635683497536938,0.23414550492610847
263.875,26.375,22.497598522167486,0.2278154556650246
263.875,26.625,22.417149014778342,0.22297586206896539
263.875,26.875,22.373091133004944,0.22038823891625642
263.875,27.125,22.291717980295545,0.2168974753694581
263.875,27.375,22.12860221674874,0.2107182881773399
263.875,27.625,21.832296798029542,0.2040670566502465
264.125,21.125,24.317826354679802,0.25903084975369495
264.125,21.375,24.310160098522175,0.2738241379310342
264.125,21.625,24.304710591133002,0.28753657635468005
264.125,21.875,24.293442118226604,0.2996184113300489
264.125,22.125,24.269796798029557,0.30612253694581254
264.125,22.375,24.241071428571445,0.30771268472906443
264.125,22.625,24.204864532019716,0.30984889162561574
264.125,22.875,24.158405172413804,0.3137472906403939
264.125,23.125,24.094673645320203,0.3176960591133006
264.125,23.375,24.026693349753707,0.32076397783251237
264.125,23.625,23.93940886699508,0.3202922413793102
264.125,23.875,23.85092364532019,0.3151982142857144
264.125,24.125,23.763916256157646,0.3077877463054185
264.125,24.375,23.673676108374384,0.29777155172413816
264.125,24.625,23.581588669950758,0.28276791871921186
264.125,24.875,23.47379926108375,0.2639412561576349
264.125,25.125,23.34411945812808,0.24661921182266008
264.125,25.375,23.19097906403941,0.23599242610837462
264.125,25.625,23.058066502463042,0.23419704433497546
264.125,25.875,22.93282019704435,0.23656200738916247
